author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
Teachbase,05-03-15,Aleko,+1,9474262,03:15,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,05-03-15,Teachbase,–2,9474268,08:21,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,06-03-15,mickvav,+1,9474278,15:36,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,08-03-15,Aleko,0,9474282,05:05,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,05-03-15,general,–1,9474264,05:29,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,05-03-15,Teachbase,+1,9474266,07:07,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,05-03-15,Duke565,+1,9474270,13:38,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,05-03-15,Teachbase,+1,9474272,15:34,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,05-03-15,Ivnika,0,9474274,18:35,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,06-03-15,Teachbase,0,9474276,10:57,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,06-03-15,mickvav,0,9474280,15:37,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
Teachbase,10-03-15,Teachbase,0,9474284,12:51,2015-03-4,286374,15:26,ok,Сервис дистанционного обучения Teachbase: мы стали функциональнее и дешевле
