author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
gotch,03-03-16,dreik,+3,8792683,16:16,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,03-03-16,gotch,0,8792705,16:25,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,03-03-16,ksg222,+3,8792763,16:47,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,03-03-16,gotch,0,8792903,18:23,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,nonname,0,8794333,18:10,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,03-03-16,tangro,+51,8792857,17:48,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,03-03-16,gotch,+7,8792907,18:26,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,03-03-16,RafaelRS,+4,8793065,20:24,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,scarab,+3,8793297,01:48,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,zim32,0,8793341,03:08,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,gotch,0,8793435,08:56,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,Speccyfan,0,8793443,08:58,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,gotch,0,8793461,09:12,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,07-03-16,scarab,0,8796065,01:47,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,zim32,0,8793767,12:25,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,EminH,+1,8794381,18:47,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,06-03-16,scarab,0,8796007,23:26,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,16-03-16,homecreate,0,8808291,22:17,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,urticazoku,+3,8793873,13:12,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,Turilion,+2,8793815,12:45,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
gotch,04-03-16,whiplash,+2,8794049,14:55,2016-03-3,278485,15:41,ok,Чем плохо быть full stack enterprise-администратором
