author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
EvseyFaydo,12-05-15,HeadFore,+2,8412757,01:47,2015-05-11,257641,03:17,ok,"Hello, SaaS | Remote всем"
EvseyFaydo,12-05-15,EvseyFaydo,0,8412941,09:59,2015-05-11,257641,03:17,ok,"Hello, SaaS | Remote всем"
