author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
freetonik,29-07-15,Iceg,+12,8518605,15:18,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,edogs,+6,8518623,15:25,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,Nikobraz,–8,8518653,15:35,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,Zibx,+5,8518733,16:37,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,Iceg,+2,8518745,16:43,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,boeing777,+1,8519173,22:41,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,Iceg,+1,8519293,00:46,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,RicoX,0,8519535,11:39,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,ZlodeiBaal,+7,8519347,02:56,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,Colwin,0,8519519,11:17,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,edogs,0,8519827,14:57,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,ZlodeiBaal,0,8520263,18:54,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,edogs,0,8520441,21:41,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,0xd34df00d,–1,8520245,18:47,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,ZlodeiBaal,0,8520265,18:57,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,0xd34df00d,–1,8520285,19:06,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,freetonik,+6,8518685,15:54,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,Iceg,+2,8519291,00:36,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,toxicmt,+4,8519353,03:40,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,grossws,+15,8518643,15:31,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,saboteur_kiev,+4,8518679,15:48,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,vlreshet,+2,8518697,16:04,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,saboteur_kiev,+2,8518703,16:13,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,AnthonyBY,0,8519119,21:44,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,boeing777,0,8519177,22:52,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,Alesh,0,8518761,16:53,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,freetonik,+4,8518765,16:56,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,WebMonet,+1,8518987,19:59,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,30-07-15,lain8dono,+1,8519455,08:51,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,Evgeny42,0,8519049,20:56,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,eta4ever,0,8519193,23:06,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,eta4ever,0,8519195,23:10,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
freetonik,29-07-15,spice_harj,–1,8519221,23:25,2015-07-29,263407,14:55,ok,Грязные секреты экспресс-курсов по программированию
