author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
EvseyFaydo,26-05-15,JuniorIL,+2,8435287,17:20,2015-05-26,258809,13:55,ok,"Hello, SaaS | Удаленная работа 2"
EvseyFaydo,26-05-15,EvseyFaydo,+1,8435355,17:43,2015-05-26,258809,13:55,ok,"Hello, SaaS | Удаленная работа 2"
