author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
23derevo,13-02-15,EGlaz,+1,8279717,12:43,2015-02-13,250497,10:08,ok,"[Москва, 19.02.2015] Дмитрий Ленев — Менеджеры блокировок в MySQL"
23derevo,13-02-15,23derevo,+1,8279723,12:48,2015-02-13,250497,10:08,ok,"[Москва, 19.02.2015] Дмитрий Ленев — Менеджеры блокировок в MySQL"
23derevo,14-02-15,jonic,–2,8280607,00:29,2015-02-13,250497,10:08,ok,"[Москва, 19.02.2015] Дмитрий Ленев — Менеджеры блокировок в MySQL"
