author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
EvseyFaydo,16-03-15,yellow,+1,9475594,05:17,2015-03-14,286670,14:25,ok,"Как создавать и зарабатывать на SaaS | Часть 15 | Виртуальные SIM? Не, не слышали"
EvseyFaydo,16-03-15,EvseyFaydo,0,9475596,08:38,2015-03-14,286670,14:25,ok,"Как создавать и зарабатывать на SaaS | Часть 15 | Виртуальные SIM? Не, не слышали"
