author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
xoposhiy,21-06-15,SVVer,+19,8470671,11:27,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,KAndy,0,8470759,13:00,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,SVVer,+2,8470783,13:29,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,22-06-15,RouR,0,8471701,11:14,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,22-06-15,RouR,0,8471711,11:20,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,22-06-15,SVVer,0,8471769,11:45,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,22-06-15,SVVer,0,8471759,11:39,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,xoposhiy,+4,8470765,13:07,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,SVVer,+1,8470787,13:34,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,MacIn,+2,8470861,15:40,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,Flammar,0,8471035,20:39,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,MacIn,+3,8471187,23:35,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,22-06-15,Flammar,+2,8471371,02:07,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,22-06-15,ATOMOHOD,+2,8471739,11:31,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,27-06-15,Flammar,0,8479573,22:18,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,Lol4t0,+16,8470725,12:35,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,InWake,+3,8470751,12:56,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,aprusov,+8,8470727,12:36,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,SVVer,+1,8470739,12:47,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,mird,+9,8470731,12:38,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,areht,+1,8470937,18:52,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,SVVer,+5,8470755,12:56,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,xoposhiy,+1,8471109,22:40,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,BlessMaster,0,8471141,23:04,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,22-06-15,SamDark,+3,8471217,00:01,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,22-06-15,SVVer,+1,8471553,08:58,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,09-07-15,AlexanderByndyu,0,8491945,06:09,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,InWake,0,8470767,13:07,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,deniskreshikhin,+3,8470769,13:09,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,lair,0,8470779,13:28,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
xoposhiy,21-06-15,VladVR,0,8471201,23:51,2015-06-21,260781,10:13,ok,Почему я не преподаю SOLID и «принцип устранения зависимостей»
