author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
DAiMor,06-10-15,excoder,+1,8601711,01:59,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
DAiMor,06-10-15,misha_shar53,–2,8601741,04:57,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
DAiMor,06-10-15,DAiMor,+3,8601827,09:16,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
DAiMor,06-10-15,intersystems,+1,8602077,12:28,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
DAiMor,06-10-15,AlexeyMaslov,+3,8602175,13:43,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
DAiMor,14-10-15,smagen,+1,8613167,13:08,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
DAiMor,14-10-15,tsafin,+1,8613207,13:27,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
DAiMor,14-10-15,tsafin,+1,8613217,13:32,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
DAiMor,14-10-15,smagen,0,8613527,15:49,2015-10-5,267951,17:30,ok,Блоки. Внутреннее устройство файла базы данных Caché
