author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
DarkEld3r,01-04-16,ufm,0,8833832,04:15,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,+3,8834380,12:13,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,11-04-16,rafuck,0,8847986,00:50,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,11-04-16,DarkEld3r,+2,8848000,01:19,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,11-04-16,rafuck,0,8848072,08:51,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,JIghtuse,0,8833890,08:21,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,0,8834388,12:17,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,–3,8833924,08:53,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,Googolplex,+7,8834032,09:56,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,–4,8834110,10:27,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,Googolplex,+5,8834214,11:13,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,–3,8834316,11:46,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,Googolplex,+4,8834344,11:59,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,potan,0,8835360,17:41,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,0,8834554,13:40,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8834734,14:23,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,+3,8834858,14:57,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,–1,8834916,15:18,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,+5,8835072,16:02,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8835218,16:59,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,+1,8835252,17:15,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,–1,8835392,17:58,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,06-04-16,ozkriff,+3,8842442,12:01,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,potan,+2,8835374,17:49,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,potan,+3,8835356,17:37,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,JIghtuse,+1,8834036,09:57,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,0,8834508,13:24,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8834748,14:25,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,0,8834878,15:01,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,ozkriff,+1,8834906,15:12,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8834922,15:20,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,02-04-16,Sirikid,0,8836296,13:38,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8833944,09:13,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,ozkriff,+8,8834068,10:07,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,–1,8834114,10:29,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,ozkriff,+3,8834120,10:31,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,qthree,0,8834608,13:53,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,ozkriff,0,8834636,14:02,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,+2,8834716,14:20,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,ingrysty,+2,8834308,11:45,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,Sirikid,+1,8834606,13:52,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,0,8834660,14:08,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8834800,14:43,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,0,8834894,15:06,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8834972,15:33,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,0,8835086,16:10,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8835230,17:04,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,DarkEld3r,0,8835264,17:17,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,02-04-16,Sirikid,0,8836274,13:29,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,02-04-16,DarkEld3r,+3,8836372,14:21,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,01-04-16,vintage,0,8834768,14:36,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,03-04-16,Dicebot,0,8837138,11:08,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
DarkEld3r,03-04-16,DarkEld3r,+2,8837608,19:21,2016-04-1,280642,03:14,ok,man!(D => Rust).basics
