author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
EvseyFaydo,31-03-15,EvseyFaydo,0,8353577,13:25,2015-03-30,254423,21:05,ok,Как создавать и зарабатывать на SaaS | Часть 17 | Персональные данные и врачебная тайна в облаке
EvseyFaydo,31-03-15,sterx,+1,8353727,14:30,2015-03-30,254423,21:05,ok,Как создавать и зарабатывать на SaaS | Часть 17 | Персональные данные и врачебная тайна в облаке
