author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
PPochtennov,21-09-15,Pomidoroff,+2,8582623,19:12,2015-09-21,267325,14:30,ok,"Про новый набор 3D-школы, автомат Калашникова, арктическую оранжерею и другие инженерные проекты выпускников прошлых курсов"
PPochtennov,21-09-15,Duche3d,+5,8582637,19:21,2015-09-21,267325,14:30,ok,"Про новый набор 3D-школы, автомат Калашникова, арктическую оранжерею и другие инженерные проекты выпускников прошлых курсов"
PPochtennov,22-09-15,PPochtennov,0,8584667,16:36,2015-09-21,267325,14:30,ok,"Про новый набор 3D-школы, автомат Калашникова, арктическую оранжерею и другие инженерные проекты выпускников прошлых курсов"
PPochtennov,22-09-15,Woit,0,8583647,11:53,2015-09-21,267325,14:30,ok,"Про новый набор 3D-школы, автомат Калашникова, арктическую оранжерею и другие инженерные проекты выпускников прошлых курсов"
PPochtennov,22-09-15,PPochtennov,0,8584697,16:43,2015-09-21,267325,14:30,ok,"Про новый набор 3D-школы, автомат Калашникова, арктическую оранжерею и другие инженерные проекты выпускников прошлых курсов"
PPochtennov,22-09-15,Woit,0,8584715,16:49,2015-09-21,267325,14:30,ok,"Про новый набор 3D-школы, автомат Калашникова, арктическую оранжерею и другие инженерные проекты выпускников прошлых курсов"
PPochtennov,28-09-15,PPochtennov,0,8593319,10:24,2015-09-21,267325,14:30,ok,"Про новый набор 3D-школы, автомат Калашникова, арктическую оранжерею и другие инженерные проекты выпускников прошлых курсов"
