author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
4p4,12-06-15,raid,+50,8458859,23:12,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,12-06-15,4p4,–12,8458865,23:17,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,12-06-15,4p4,+2,8458907,23:41,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,26-06-15,potan,0,8478295,15:07,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,24-10-15,dtestyk,+1,8625611,01:03,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,alaska332,+3,8459137,08:24,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,16-06-15,mva,+2,8462617,00:51,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,12-06-15,Newbilius,+4,8458867,23:18,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,4p4,0,8458957,00:02,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,Zibx,+1,8459405,14:13,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,4p4,–4,8459413,14:21,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,12-06-15,stas3k,+6,8458871,23:23,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,12-06-15,4p4,+1,8458883,23:28,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,raid,0,8459019,01:16,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,rPman,+3,8459129,08:03,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,alaska332,+1,8459139,08:31,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,Hellsy22,0,8459519,16:54,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,12-06-15,tegArt,+3,8458941,23:56,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,13-06-15,Antelle,+1,8459425,14:40,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,14-06-15,Zenitchik,+2,8460669,23:22,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
4p4,17-06-15,avtorfile,–4,8465869,17:22,2015-06-12,260197,22:50,ok,Эльфийский язык программирования
