author,comment_date,comment_nickname,comment_rating,comment_rel,comment_time,post_date,post_id,post_time,status,title
AlexLeonov,24-05-15,AlexLeonov,0,8431675,12:59,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,symbix,0,8431697,15:03,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,DmitryKoterov,0,8431707,15:24,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,DmitryKoterov,+1,8431705,15:22,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,grcool,–1,8431511,23:02,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,23-05-15,Delphinum,+4,8431525,23:19,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Delphinum,–1,8431637,11:41,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,chetzof,+2,8431649,12:19,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Delphinum,–1,8431713,15:44,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,chetzof,+1,8431717,15:47,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Delphinum,+2,8431719,15:52,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Delphinum,+2,8431731,16:18,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,andrewiWD,0,8436217,09:49,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,AlexLeonov,+1,8431657,12:24,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Delphinum,0,8431711,15:44,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,symbix,+1,8431723,16:10,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Delphinum,0,8431725,16:12,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,neolink,0,8431735,16:45,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Delphinum,–2,8431737,16:53,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,neolink,+1,8431739,16:58,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,Delphinum,–1,8431741,16:59,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,neolink,+1,8431743,17:08,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,symbix,0,8431791,18:31,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,24-05-15,PapaBubaDiop,+5,8431789,18:30,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,Blumfontein,+1,8432193,07:39,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,Arik,+1,8432187,07:23,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,25-05-15,Secessus,0,8432579,12:42,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,27-05-15,uaoleg,+1,8436511,12:51,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,andrewiWD,0,8437733,10:07,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,uaoleg,–1,8437751,10:11,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,gonzazoid,+1,8437945,12:08,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,uaoleg,–1,8437959,12:17,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,Fesor,0,8437991,12:42,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,gonzazoid,0,8438135,13:39,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,Fesor,0,8438223,14:11,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,gonzazoid,0,8438253,14:21,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-05-15,Fesor,0,8438811,19:54,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,31-05-15,akazakou,+1,8441347,08:03,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,28-10-15,vitalif,0,8632037,22:49,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,29-10-15,SerafimArts,0,8632913,13:14,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,29-10-15,AlexLeonov,0,8632955,13:27,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,29-10-15,Fesor,0,8632967,13:32,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,29-10-15,AlexLeonov,0,8632971,13:34,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
AlexLeonov,03-11-15,saksmt,0,8638855,08:01,2015-05-22,258567,18:18,ok,"Не мамонт ли Вы? (пятничный тест; который ложь, да в ней намек)"
